Land;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danmark;6930;6850;7030;7390;6790;6990;6500;6210;6940;7170;6880;7490;8190;8140;7870;8260;8370;8600;9120;9600;9630;9290;9510;9710;9850;10000;10200;10400;10800;9190;8220;8320;9130;9960;9100;10400;10800;11000;11700;12500;12500;12500;13100;13200;13300;13400;14300;14500;15500;15800;16700;17500;17500;19000;19700;20100;20600;21400;22600;22900;23400;24500;25300;24900;24700;26300;26600;26900;27800;27700;27500;28400;29100;30400;31700;32900;32900;33300;33400;33800;34200;34700;34600;36300;37200;38100;39200;39900;40900;42300;42500;42600;42600;43700;44600;46200;46400;45900;43400;44000;44400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;3140;3270;3420;3240;3050;3070;2560;2220;2690;2990;3050;3330;3540;3600;3770;3870;4140;4380;4400;4320;4180;4130;4370;4840;5010;5310;5570;5810;5520;5210;5380;5390;5990;5970;5590;5960;6020;6410;6710;6890;7400;7570;7530;8100;8410;8570;8890;8860;9320;10100;10800;11100;11400;11900;12500;12800;13000;13300;14600;15800;16100;17300;18400;18900;19100;19000;19000;19400;20700;21800;22100;22800;23300;23900;24700;25200;26200;27500;29000;28900;27000;26000;25700;26600;27600;28500;30200;31800;33100;34900;35700;36200;36900;38200;39100;40500;42500;42600;38900;39800;40700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frankrike;5350;5780;5730;5320;5340;5700;4900;3940;4630;5310;5060;5940;6180;6880;6850;6990;6830;7290;7750;7460;6970;6510;6970;6900;6720;6980;7380;7350;7890;6650;5440;4910;4710;3980;4230;6340;6810;7230;8140;8530;8980;9150;9350;9730;10200;10600;11100;11300;11500;12200;12700;13300;13800;14500;15100;15700;16400;17000;18000;18900;19600;20300;21200;21700;21500;22300;23100;23600;24300;24500;24700;25200;25400;25600;25900;26400;26900;28000;28900;29500;29600;29900;29600;30200;30700;31100;31700;32700;33600;34700;35100;35300;35300;36100;36400;37000;37700;37600;36300;36800;37400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italia;4480;4490;4700;4440;4220;4570;4580;4470;4290;4390;4240;4550;4920;5010;5310;5300;5160;5440;5660;5360;5260;5330;5230;5170;5410;5180;5650;5770;6080;5910;5750;5400;4550;3660;3280;4410;5210;5580;6010;6470;6900;7380;7860;8210;8630;8970;9450;9900;10400;10900;11800;12600;13500;13900;14100;14800;15700;17000;17800;18100;18400;18800;19900;20700;20200;21400;22000;22700;24000;24800;25000;25100;25400;26000;26800;27600;28400;29600;30500;31100;31600;31800;31600;32200;33200;33600;34200;34700;35200;36500;37200;37200;37100;37400;37600;38200;38600;38000;35700;36200;36300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederland;6950;7050;7290;6960;7060;7120;6530;6030;7420;7590;7970;8280;8340;8810;9050;9640;9910;10300;10200;10100;9330;9060;8920;8650;8870;9340;9780;9450;9980;8690;8150;7390;7160;4770;4830;8020;9080;9880;10600;10800;10900;10900;11800;12400;13200;13500;13700;13500;13900;14900;14800;15600;16000;17100;17700;18000;18800;19800;20900;21800;22500;23000;23900;24700;24500;25500;26100;26600;27000;27200;26900;26500;26900;27700;28400;29100;29300;29900;31200;32300;32800;33100;33300;34100;35000;36100;37400;38900;40600;42000;42700;42500;42400;43000;43800;45300;46900;47700;45700;46100;46600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norge;7460;7660;8350;8200;8330;9080;8100;7600;8700;8960;7980;8640;9210;9050;8950;8980;9440;9910;10500;10900;10000;10400;10600;11000;11400;12200;12600;12800;13400;12200;12400;11800;11500;10800;12000;13100;14700;15500;15800;16400;17100;17500;18000;18800;19000;19800;20200;20000;20700;21700;22700;23000;23500;24300;25200;25700;26900;27000;27800;27900;28900;29900;30700;31500;32700;34200;35200;35900;37100;38400;38300;37900;38800;40600;42200;43100;43400;42700;42500;42800;43900;45200;46200;48300;50100;52300;54800;55900;56600;58000;59000;59500;59700;61700;62900;63900;65100;64600;62700;62400;62100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russland;3220;3480;3660;3490;3600;3200;2810;1720;1480;1490;1370;1590;1830;2320;2910;3270;3420;3600;3650;3820;3830;3760;3880;4220;4810;5110;5510;5470;5660;5400;5280;5150;5030;4910;4800;4690;5180;5820;6330;6820;6700;6980;7120;7300;7750;8290;8270;8690;8390;8970;9490;10100;10400;11000;11500;12200;12900;13700;14000;15100;15600;16000;17200;17700;18300;18800;19200;19500;19500;20100;20200;20300;20500;20500;20700;21000;20900;21100;21200;20600;19600;16700;15300;13400;12800;12400;12600;11900;12700;14100;14800;15600;16800;18100;19300;21000;22800;24000;22100;23300;24300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Storbritannia;7720;7800;8050;7970;8470;8530;8500;8460;7460;6880;6660;7250;7440;7690;8040;7720;8310;8370;8600;8500;8030;8050;8250;8760;9060;9430;9720;9790;9790;10700;11700;11900;12100;11600;11000;10500;10300;10500;10900;10800;11100;11100;11500;11900;12300;12400;12500;12500;12900;13500;13900;13900;14400;15000;15300;15600;15800;16400;16700;17000;17300;17900;19100;18900;18900;19300;19800;20500;21100;20700;20500;20800;21600;22100;22900;23800;24900;26100;26600;26700;26300;26300;26900;27900;28500;29200;30300;31300;32200;33200;34000;34700;35700;36300;37200;37800;38500;38100;36200;36500;36800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sverige;4400;4570;4860;4960;5130;5420;5090;4700;4770;5080;4810;5160;5320;5690;5820;6100;6300;6480;6860;7160;6980;6700;6810;7260;7590;7840;8030;8280;8870;8200;7960;8010;8250;8470;8690;9540;10300;10400;10700;11400;11700;11800;12100;12500;12800;13200;13700;13700;14000;14700;15500;16000;16800;17900;18400;18600;19100;19700;20600;21800;21900;22300;23200;23900;24500;24700;24200;24600;25500;25900;25900;26200;26700;27800;28300;28900;29700;30200;30800;31000;30400;29900;29100;30100;31100;31500;32400;33800;35300;36900;37400;38000;38800;40300;41300;43000;44100;43500;40900;43000;43800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tyskland;6890;7120;7370;6180;5860;5930;5960;6030;5230;5650;6220;6730;5550;6460;7130;7280;7960;8260;8180;8030;7380;6790;7180;7790;8320;8990;9460;10100;10900;10900;11500;11600;11900;12300;9120;4480;4920;5720;6630;7840;8500;9200;9910;10600;11700;12500;13100;13600;14500;15600;16000;16600;16900;17800;18500;18900;18900;19800;20900;21700;22100;22900;23900;24100;24000;25200;26000;26700;27800;28000;28000;27800;28300;29200;29900;30500;30900;31800;32600;31300;32600;33000;32500;33200;33700;33800;34400;35100;35800;36800;37300;37300;37000;37400;37700;39100;40500;41000;38800;40400;42700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
