Aksetittel, x-akse;År
Aksetittel, y-akse;Arbeidsledige
Kilde;Statistisk sentralbyrå
;
År;Arbeidsledige (prosent)
1972;5,01
1973;1,5
1974;1,5
1975;2,3
1976;1,8
1977;1,5
1978;1,8
1979;2
1980;1,7
1981;2
1982;2,6
1983;3,4
1984;3,2
1985;2,6
1986;2
1987;2,1
1988;3,2
1989;4,9
1990;5,2
1991;5,5
1992;5,9
1993;6
1994;5,4
1995;4,9
1996;4,8
1997;4
1998;3,2
1999;3,2
2000;3,4
2001;3,5
2002;3,9
2003;4,5
2004;4,5
2005;4,6
2006;3,4
2007;2,5
2008;2,7
2009;3,3
2010;3,8
2011;3,4
2012;3,3
2013;3,8
2014;3,6
2015;4,5
2016;4,7
2017;4,2
2018;3,8
2019;3,7
