Aksetittel, x-akse;Årstal;;;;;;;;;
Aksetittel, y-akse;BNP per innbyggar;;;;;;;;;
Kjelde;gapminder.org;;;;;;;;;
;;;;;;;;;;
Årstal;Danmark;Finland;Frankrike;Italia;Nederland;Noreg;Russland;Storbritannia;Sverige;Tyskland
1911;6930;3140;5350;4480;6950;7460;3220;7720;4400;6890
1912;6850;3270;5780;4490;7050;7660;3480;7800;4570;7120
1913;7030;3420;5730;4700;7290;8350;3660;8050;4860;7370
1914;7390;3240;5320;4440;6960;8200;3490;7970;4960;6180
1915;6790;3050;5340;4220;7060;8330;3600;8470;5130;5860
1916;6990;3070;5700;4570;7120;9080;3200;8530;5420;5930
1917;6500;2560;4900;4580;6530;8100;2810;8500;5090;5960
1918;6210;2220;3940;4470;6030;7600;1720;8460;4700;6030
1919;6940;2690;4630;4290;7420;8700;1480;7460;4770;5230
1920;7170;2990;5310;4390;7590;8960;1490;6880;5080;5650
1921;6880;3050;5060;4240;7970;7980;1370;6660;4810;6220
1922;7490;3330;5940;4550;8280;8640;1590;7250;5160;6730
1923;8190;3540;6180;4920;8340;9210;1830;7440;5320;5550
1924;8140;3600;6880;5010;8810;9050;2320;7690;5690;6460
1925;7870;3770;6850;5310;9050;8950;2910;8040;5820;7130
1926;8260;3870;6990;5300;9640;8980;3270;7720;6100;7280
1927;8370;4140;6830;5160;9910;9440;3420;8310;6300;7960
1928;8600;4380;7290;5440;10300;9910;3600;8370;6480;8260
1929;9120;4400;7750;5660;10200;10500;3650;8600;6860;8180
1930;9600;4320;7460;5360;10100;10900;3820;8500;7160;8030
1931;9630;4180;6970;5260;9330;10000;3830;8030;6980;7380
1932;9290;4130;6510;5330;9060;10400;3760;8050;6700;6790
1933;9510;4370;6970;5230;8920;10600;3880;8250;6810;7180
1934;9710;4840;6900;5170;8650;11000;4220;8760;7260;7790
1935;9850;5010;6720;5410;8870;11400;4810;9060;7590;8320
1936;10000;5310;6980;5180;9340;12200;5110;9430;7840;8990
1937;10200;5570;7380;5650;9780;12600;5510;9720;8030;9460
1938;10400;5810;7350;5770;9450;12800;5470;9790;8280;10100
1939;10800;5520;7890;6080;9980;13400;5660;9790;8870;10900
1940;9190;5210;6650;5910;8690;12200;5400;10700;8200;10900
1941;8220;5380;5440;5750;8150;12400;5280;11700;7960;11500
1942;8320;5390;4910;5400;7390;11800;5150;11900;8010;11600
1943;9130;5990;4710;4550;7160;11500;5030;12100;8250;11900
1944;9960;5970;3980;3660;4770;10800;4910;11600;8470;12300
1945;9100;5590;4230;3280;4830;12000;4800;11000;8690;9120
1946;10400;5960;6340;4410;8020;13100;4690;10500;9540;4480
1947;10800;6020;6810;5210;9080;14700;5180;10300;10300;4920
1948;11000;6410;7230;5580;9880;15500;5820;10500;10400;5720
1949;11700;6710;8140;6010;10600;15800;6330;10900;10700;6630
1950;12500;6890;8530;6470;10800;16400;6820;10800;11400;7840
1951;12500;7400;8980;6900;10900;17100;6700;11100;11700;8500
